,image_path,taxonID,plotID,individualID,RGB_tile,siteID,box_id
0,NEON.PLA.D16.ABBY.02639.tif,ALRU2,ABBY_001,NEON.PLA.D16.ABBY.02639,/orange/ewhite/NeonData/ABBY/DP3.30010.001/2019/FullSite/D16/2019_ABBY_3/L3/Camera/Mosaic/2019_ABBY_3_550000_5068000_image.tif,ABBY,0
0,NEON.PLA.D16.ABBY.02651.tif,PSME,ABBY_001,NEON.PLA.D16.ABBY.02651,/orange/ewhite/NeonData/ABBY/DP3.30010.001/2019/FullSite/D16/2019_ABBY_3/L3/Camera/Mosaic/2019_ABBY_3_550000_5068000_image.tif,ABBY,6
0,NEON.PLA.D16.ABBY.02632.tif,PSME,ABBY_001,NEON.PLA.D16.ABBY.02632,/orange/ewhite/NeonData/ABBY/DP3.30010.001/2019/FullSite/D16/2019_ABBY_3/L3/Camera/Mosaic/2019_ABBY_3_550000_5068000_image.tif,ABBY,fixed_box_0
0,NEON.PLA.D16.ABBY.02633.tif,PSME,ABBY_001,NEON.PLA.D16.ABBY.02633,/orange/ewhite/NeonData/ABBY/DP3.30010.001/2019/FullSite/D16/2019_ABBY_3/L3/Camera/Mosaic/2019_ABBY_3_550000_5068000_image.tif,ABBY,fixed_box_1
0,NEON.PLA.D16.ABBY.02643.tif,PSME,ABBY_001,NEON.PLA.D16.ABBY.02643,/orange/ewhite/NeonData/ABBY/DP3.30010.001/2019/FullSite/D16/2019_ABBY_3/L3/Camera/Mosaic/2019_ABBY_3_550000_5068000_image.tif,ABBY,fixed_box_3
0,NEON.PLA.D16.ABBY.01551.tif,PSME,ABBY_003,NEON.PLA.D16.ABBY.01551,/orange/ewhite/NeonData/ABBY/DP3.30010.001/2018/FullSite/D16/2018_ABBY_2/L3/Camera/Mosaic/V01/2018_ABBY_2_548000_5067000_image.tif,ABBY,0
0,NEON.PLA.D16.ABBY.02954.tif,PSME,ABBY_003,NEON.PLA.D16.ABBY.02954,/orange/ewhite/NeonData/ABBY/DP3.30010.001/2018/FullSite/D16/2018_ABBY_2/L3/Camera/Mosaic/V01/2018_ABBY_2_548000_5067000_image.tif,ABBY,7
0,NEON.PLA.D16.ABBY.01512.tif,PSME,ABBY_003,NEON.PLA.D16.ABBY.01512,/orange/ewhite/NeonData/ABBY/DP3.30010.001/2018/FullSite/D16/2018_ABBY_2/L3/Camera/Mosaic/V01/2018_ABBY_2_548000_5067000_image.tif,ABBY,15
0,NEON.PLA.D16.ABBY.01521.tif,PSME,ABBY_003,NEON.PLA.D16.ABBY.01521,/orange/ewhite/NeonData/ABBY/DP3.30010.001/2018/FullSite/D16/2018_ABBY_2/L3/Camera/Mosaic/V01/2018_ABBY_2_548000_5067000_image.tif,ABBY,19
0,NEON.PLA.D16.ABBY.02732.tif,PSME,ABBY_003,NEON.PLA.D16.ABBY.02732,/orange/ewhite/NeonData/ABBY/DP3.30010.001/2018/FullSite/D16/2018_ABBY_2/L3/Camera/Mosaic/V01/2018_ABBY_2_548000_5067000_image.tif,ABBY,33
