,image_path,taxonID,plotID,individualID,RGB_tile,siteID,box_id
0,NEON.PLA.D16.ABBY.02639.tif,ALRU2,ABBY_001,NEON.PLA.D16.ABBY.02639,/orange/ewhite/NeonData/ABBY/DP3.30010.001/2019/FullSite/D16/2019_ABBY_3/L3/Camera/Mosaic/2019_ABBY_3_550000_5068000_image.tif,ABBY,0
0,NEON.PLA.D16.ABBY.01618.tif,TSHE,ABBY_017,NEON.PLA.D16.ABBY.01618,/orange/ewhite/NeonData/ABBY/DP3.30010.001/2018/FullSite/D16/2018_ABBY_2/L3/Camera/Mosaic/V01/2018_ABBY_2_548000_5068000_image.tif,ABBY,25
0,NEON.PLA.D16.ABBY.03910.tif,TSHE,ABBY_023,NEON.PLA.D16.ABBY.03910,/orange/ewhite/NeonData/ABBY/DP3.30010.001/2018/FullSite/D16/2018_ABBY_2/L3/Camera/Mosaic/V01/2018_ABBY_2_548000_5065000_image.tif,ABBY,16
0,NEON.PLA.D16.ABBY.03912.tif,ALRU2,ABBY_023,NEON.PLA.D16.ABBY.03912,/orange/ewhite/NeonData/ABBY/DP3.30010.001/2018/FullSite/D16/2018_ABBY_2/L3/Camera/Mosaic/V01/2018_ABBY_2_548000_5065000_image.tif,ABBY,20
0,NEON.PLA.D16.ABBY.01441.tif,TSHE,ABBY_023,NEON.PLA.D16.ABBY.01441,/orange/ewhite/NeonData/ABBY/DP3.30010.001/2018/FullSite/D16/2018_ABBY_2/L3/Camera/Mosaic/V01/2018_ABBY_2_548000_5065000_image.tif,ABBY,48
0,NEON.PLA.D16.ABBY.03909.tif,PREM,ABBY_023,NEON.PLA.D16.ABBY.03909,/orange/ewhite/NeonData/ABBY/DP3.30010.001/2018/FullSite/D16/2018_ABBY_2/L3/Camera/Mosaic/V01/2018_ABBY_2_548000_5065000_image.tif,ABBY,62
0,NEON.PLA.D16.ABBY.03907.tif,TSHE,ABBY_023,NEON.PLA.D16.ABBY.03907,/orange/ewhite/NeonData/ABBY/DP3.30010.001/2018/FullSite/D16/2018_ABBY_2/L3/Camera/Mosaic/V01/2018_ABBY_2_548000_5065000_image.tif,ABBY,fixed_box_100
0,NEON.PLA.D16.ABBY.09947.tif,ALRU2,ABBY_023,NEON.PLA.D16.ABBY.09947,/orange/ewhite/NeonData/ABBY/DP3.30010.001/2018/FullSite/D16/2018_ABBY_2/L3/Camera/Mosaic/V01/2018_ABBY_2_548000_5065000_image.tif,ABBY,fixed_box_104
0,NEON.PLA.D16.ABBY.01920.tif,ALRU2,ABBY_025,NEON.PLA.D16.ABBY.01920,/orange/ewhite/NeonData/ABBY/DP3.30010.001/2019/FullSite/D16/2019_ABBY_3/L3/Camera/Mosaic/2019_ABBY_3_552000_5068000_image.tif,ABBY,14
0,NEON.PLA.D16.ABBY.01903.tif,ALRU2,ABBY_025,NEON.PLA.D16.ABBY.01903,/orange/ewhite/NeonData/ABBY/DP3.30010.001/2019/FullSite/D16/2019_ABBY_3/L3/Camera/Mosaic/2019_ABBY_3_552000_5068000_image.tif,ABBY,16
0,NEON.PLA.D16.ABBY.01817.tif,ALRU2,ABBY_025,NEON.PLA.D16.ABBY.01817,/orange/ewhite/NeonData/ABBY/DP3.30010.001/2019/FullSite/D16/2019_ABBY_3/L3/Camera/Mosaic/2019_ABBY_3_552000_5068000_image.tif,ABBY,26
0,NEON.PLA.D16.ABBY.01905.tif,ALRU2,ABBY_025,NEON.PLA.D16.ABBY.01905,/orange/ewhite/NeonData/ABBY/DP3.30010.001/2019/FullSite/D16/2019_ABBY_3/L3/Camera/Mosaic/2019_ABBY_3_552000_5068000_image.tif,ABBY,fixed_box_108
